Sr No,Date,StartUp,Vertical,Subvertical,Location,Investors,Round,Amount
861,2017-04-04,perfios,Technology,Fin-Tech Solutions,Bangalore,bessemer venture partners,Private Equity,52.1977
862,2017-04-04,whatfix,Technology,Interactive Tech-Support Guides,Bangalore,stellaris venture partners helion venture partners powerhouse gokul rajaram girish mathrubootham aneesh reddy vispi daver,Private Equity,31.57533
863,2017-04-04,elastirun,Technology,App based Logistics & Distribution platform,Pune,kalaari capital norwest venture partners,Private Equity,59.899
864,2017-04-04,trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,keyur joshi pavan bakeri,Seed Funding,4.2785
865,2017-04-04,konsult app,Consumer Internet,App based Doctor Consulting platform,New Delhi,koen bouwers lomesh agarwal jeroen mensen pablo van den bosch others,Seed Funding,4.2785
866,2017-05-04,credit sudhaar,Consumer Internet,Credit Score Improvement platform,Mumbai,deepak kulkarni sandeep pangal,Seed Funding,0.0
867,2017-05-04,fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,zephyr peacock india,Private Equity,25.670999999999996
868,2017-05-04,dataweave,Technology,Business Intelligence Solutions,Bangalore,freakout group blume herb madan waterbridge,Private Equity,0.0
869,2017-06-04,medwell,Healthcare,Home-Based Healthcare provider,Bangalore,mahindra partners eight roads fprime capital partners,Private Equity,179.69699999999997
870,2017-06-04,mech mocha,Consumer Internet,Mobile gaming startup,Bangalore,accel partners shunwei capital,Private Equity,42.785
871,2017-07-04,startup buddy,Consumer Internet,Startup Support Platform,Gurgaon,youwecan,Seed Funding,0.0
872,2017-07-04,qorqi,Healthcare,Online Healthcare provider,Noida,paytm,Seed Funding,0.0
873,2017-07-04,twenty two motors,Technology,Smart Scooter manufacturer,Gurgaon,ishwar singhfarhaan shabbir,Seed Funding,0.0
874,2017-07-04,pharmeasy,eCommerce,Online Pharmacy,Mumbai,bessemer venture partners orios venture partners trifecta capital,Private Equity,154.02599999999998
876,2017-08-04,fastfox,Consumer Internet,Online rental discovery platform,Gurgaon,lightspeed india partners blume cyberagent growx imj investment partners,Private Equity,39.362199999999994
877,2017-10-04,omnify,Technology,SaaS platform for SMEs,Bangalore,rajan anandan ld sharma saurabh arora,Seed Funding,1.2835499999999997
878,2017-10-04,capital float,Consumer Internet,Online Lending Platform for SME,Bangalore,mahindra and mahindra financial services,Private Equity,19.681099999999997
